Image Path,Type
image_extraire/no yawn\12-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\12-FemaleNoGlasses-Talking_frame_447.jpg,normal
image_extraire/no yawn\12-FemaleNoGlasses-Talking_frame_893.jpg,normal
image_extraire/no yawn\13-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\13-FemaleNoGlasses-Normal_frame_391.jpg,normal
image_extraire/no yawn\13-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\13-FemaleNoGlasses-Talking_frame_449.jpg,normal
image_extraire/no yawn\13-FemaleNoGlasses-Talking_frame_897.jpg,normal
image_extraire/no yawn\13-MaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\13-MaleGlasses-Normal_frame_278.jpg,normal
image_extraire/no yawn\13-MaleGlasses-Yawning_frame_1.jpg,normal
image_extraire/no yawn\14-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\14-FemaleNoGlasses-Normal_frame_333.jpg,normal
image_extraire/no yawn\14-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\14-FemaleNoGlasses-Talking_frame_643.jpg,normal
image_extraire/no yawn\15-FemaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\15-FemaleGlasses-Normal_frame_295.jpg,normal
image_extraire/no yawn\15-FemaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\15-FemaleGlasses-Talking_frame_498.jpg,normal
image_extraire/no yawn\15-FemaleGlasses-Talking_frame_995.jpg,normal
image_extraire/no yawn\15-FemaleSunGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\15-FemaleSunGlasses-Normal_frame_349.jpg,normal
image_extraire/no yawn\16-MaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\16-MaleNoGlasses-Talking_frame_132.jpg,normal
image_extraire/no yawn\16-MaleNoGlasses-Talking_frame_263.jpg,normal
image_extraire/no yawn\17-MaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\17-MaleNoGlasses-Talking_frame_479.jpg,normal
image_extraire/no yawn\18-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\18-FemaleNoGlasses-Normal_frame_385.jpg,normal
image_extraire/no yawn\18-FemaleNoGlasses-Normal_frame_769.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Normal_frame_330.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Normal_frame_659.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Talking_frame_496.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Talking_frame_991.jpg,normal
image_extraire/no yawn\18-FemaleSunGlasses-Yawning_frame_1.jpg,normal
image_extraire/no yawn\18-MaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\18-MaleNoGlasses-Talking_frame_1029.jpg,normal
image_extraire/no yawn\18-MaleNoGlasses-Talking_frame_515.jpg,normal
image_extraire/no yawn\19-MaleGlassesmoustache-Talking_frame_1.jpg,normal
image_extraire/no yawn\19-MaleGlassesmoustache-Talking_frame_1207.jpg,normal
image_extraire/no yawn\19-MaleGlassesmoustache-Talking_frame_604.jpg,normal
image_extraire/no yawn\2-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\2-FemaleNoGlasses-Talking_frame_421.jpg,normal
image_extraire/no yawn\2-FemaleNoGlasses-Talking_frame_841.jpg,normal
image_extraire/no yawn\20-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\20-FemaleNoGlasses-Normal_frame_407.jpg,normal
image_extraire/no yawn\20-MaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\20-MaleGlasses-Talking_frame_417.jpg,normal
image_extraire/no yawn\21-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\21-FemaleNoGlasses-Normal_frame_303.jpg,normal
image_extraire/no yawn\21-FemaleNoGlasses-Normal_frame_605.jpg,normal
image_extraire/no yawn\21-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\21-FemaleNoGlasses-Talking_frame_1003.jpg,normal
image_extraire/no yawn\21-FemaleNoGlasses-Talking_frame_502.jpg,normal
image_extraire/no yawn\21-MaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\21-MaleGlasses-Talking_frame_1465.jpg,normal
image_extraire/no yawn\21-MaleGlasses-Talking_frame_733.jpg,normal
image_extraire/no yawn\22-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\22-FemaleNoGlasses-Normal_frame_317.jpg,normal
image_extraire/no yawn\22-FemaleNoGlasses-Normal_frame_633.jpg,normal
image_extraire/no yawn\22-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\22-FemaleNoGlasses-Talking_frame_1101.jpg,normal
image_extraire/no yawn\22-FemaleNoGlasses-Talking_frame_551.jpg,normal
image_extraire/no yawn\22-FemaleSunGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\22-FemaleSunGlasses-Normal_frame_183.jpg,normal
image_extraire/no yawn\22-MaleGlassesmoustache-Normal_frame_1.jpg,normal
image_extraire/no yawn\22-MaleGlassesmoustache-Normal_frame_404.jpg,normal
image_extraire/no yawn\23-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\23-FemaleNoGlasses-Normal_frame_361.jpg,normal
image_extraire/no yawn\23-FemaleNoGlasses-Normal_frame_721.jpg,normal
image_extraire/no yawn\23-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\23-FemaleNoGlasses-Talking_frame_420.jpg,normal
image_extraire/no yawn\23-MaleGlassesBeard-Normal_frame_1.jpg,normal
image_extraire/no yawn\23-MaleGlassesBeard-Normal_frame_342.jpg,normal
image_extraire/no yawn\24-MaleGlassesBeard-Talking_frame_1.jpg,normal
image_extraire/no yawn\24-MaleGlassesBeard-Talking_frame_306.jpg,normal
image_extraire/no yawn\24-MaleGlassesBeard-Talking_frame_611.jpg,normal
image_extraire/no yawn\25-MaleGlassesBeard-Normal_frame_1.jpg,normal
image_extraire/no yawn\25-MaleGlassesBeard-Normal_frame_199.jpg,normal
image_extraire/no yawn\25-MaleGlassesBeard-Normal_frame_397.jpg,normal
image_extraire/no yawn\26-MaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\26-MaleNoGlasses-Normal_frame_369.jpg,normal
image_extraire/no yawn\26-MaleNoGlasses-Normal_frame_737.jpg,normal
image_extraire/no yawn\27-MaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\27-MaleNoGlasses-Normal_frame_280.jpg,normal
image_extraire/no yawn\27-MaleNoGlasses-Normal_frame_559.jpg,normal
image_extraire/no yawn\28-MaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\28-MaleGlasses-Normal_frame_294.jpg,normal
image_extraire/no yawn\28-MaleGlasses-Normal_frame_587.jpg,normal
image_extraire/no yawn\29-MaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\29-MaleGlasses-Talking_frame_427.jpg,normal
image_extraire/no yawn\3-FemaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\3-FemaleGlasses-Normal_frame_256.jpg,normal
image_extraire/no yawn\3-MaleNoGlasses-Yawning_frame_1.jpg,normal
image_extraire/no yawn\30-MaleSunGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\30-MaleSunGlasses-Normal_frame_252.jpg,normal
image_extraire/no yawn\30-MaleSunGlasses-Normal_frame_503.jpg,normal
image_extraire/no yawn\31-MaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\31-MaleGlasses-Normal_frame_323.jpg,normal
image_extraire/no yawn\32-MaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\32-MaleGlasses-Talking_frame_563.jpg,normal
image_extraire/no yawn\33-MaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\33-MaleGlasses-Talking_frame_377.jpg,normal
image_extraire/no yawn\33-MaleGlasses-Talking_frame_753.jpg,normal
image_extraire/no yawn\34-MaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\34-MaleNoGlasses-Talking_frame_382.jpg,normal
image_extraire/no yawn\34-MaleNoGlasses-Talking_frame_763.jpg,normal
image_extraire/no yawn\35-MaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\35-MaleGlasses-Talking_frame_461.jpg,normal
image_extraire/no yawn\35-MaleGlasses-Talking_frame_921.jpg,normal
image_extraire/no yawn\36-MaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\36-MaleGlasses-Normal_frame_261.jpg,normal
image_extraire/no yawn\36-MaleGlasses-Normal_frame_521.jpg,normal
image_extraire/no yawn\37-MaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\37-MaleNoGlasses-Normal_frame_320.jpg,normal
image_extraire/no yawn\37-MaleNoGlasses-Normal_frame_639.jpg,normal
image_extraire/no yawn\38-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\38-FemaleNoGlasses-Normal_frame_292.jpg,normal
image_extraire/no yawn\38-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\38-FemaleNoGlasses-Talking_frame_490.jpg,normal
image_extraire/no yawn\38-FemaleNoGlasses-Talking_frame_979.jpg,normal
image_extraire/no yawn\38-MaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\38-MaleNoGlasses-Normal_frame_289.jpg,normal
image_extraire/no yawn\39-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\39-FemaleNoGlasses-Normal_frame_331.jpg,normal
image_extraire/no yawn\39-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\39-FemaleNoGlasses-Talking_frame_1021.jpg,normal
image_extraire/no yawn\39-FemaleNoGlasses-Talking_frame_511.jpg,normal
image_extraire/no yawn\39-MaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\39-MaleNoGlasses-Normal_frame_267.jpg,normal
image_extraire/no yawn\4-FemaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\4-FemaleGlasses-Normal_frame_330.jpg,normal
image_extraire/no yawn\4-FemaleGlasses-Normal_frame_659.jpg,normal
image_extraire/no yawn\40-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\40-FemaleNoGlasses-Normal_frame_263.jpg,normal
image_extraire/no yawn\40-FemaleNoGlasses-Normal_frame_525.jpg,normal
image_extraire/no yawn\40-MaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\40-MaleNoGlasses-Normal_frame_286.jpg,normal
image_extraire/no yawn\40-MaleNoGlasses-Normal_frame_571.jpg,normal
image_extraire/no yawn\41-FemaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\41-FemaleGlasses-Normal_frame_254.jpg,normal
image_extraire/no yawn\41-FemaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\41-FemaleGlasses-Talking_frame_340.jpg,normal
image_extraire/no yawn\41-MaleGlassesmoustache-Normal_frame_1.jpg,normal
image_extraire/no yawn\41-MaleGlassesmoustache-Normal_frame_355.jpg,normal
image_extraire/no yawn\42-FemaleSunGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\42-FemaleSunGlasses-Normal_frame_327.jpg,normal
image_extraire/no yawn\42-FemaleSunGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\42-FemaleSunGlasses-Talking_frame_441.jpg,normal
image_extraire/no yawn\42-MaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\42-MaleGlasses-Normal_frame_405.jpg,normal
image_extraire/no yawn\43-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\43-FemaleNoGlasses-Normal_frame_333.jpg,normal
image_extraire/no yawn\43-MaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\43-MaleGlasses-Normal_frame_297.jpg,normal
image_extraire/no yawn\44-MaleGlassesmoustache-Talking_frame_1.jpg,normal
image_extraire/no yawn\44-MaleGlassesmoustache-Talking_frame_1023.jpg,normal
image_extraire/no yawn\44-MaleGlassesmoustache-Talking_frame_512.jpg,normal
image_extraire/no yawn\45-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\45-FemaleNoGlasses-Talking_frame_490.jpg,normal
image_extraire/no yawn\46-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\46-FemaleNoGlasses-Normal_frame_304.jpg,normal
image_extraire/no yawn\46-FemaleNoGlasses-Normal_frame_607.jpg,normal
image_extraire/no yawn\47-FemaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\47-FemaleGlasses-Normal_frame_360.jpg,normal
image_extraire/no yawn\48-FemaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\48-FemaleGlasses-Normal_frame_347.jpg,normal
image_extraire/no yawn\49-MaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\49-MaleGlasses-Normal_frame_226.jpg,normal
image_extraire/no yawn\49-MaleGlasses-Normal_frame_451.jpg,normal
image_extraire/no yawn\5-MaleNoGlasses-Talking_frame_232.jpg,normal
image_extraire/no yawn\5-MaleNoGlasses-Yawning_frame_275.jpg,normal
image_extraire/no yawn\50-MaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\50-MaleGlasses-Talking_frame_254.jpg,normal
image_extraire/no yawn\50-MaleGlasses-Talking_frame_507.jpg,normal
image_extraire/no yawn\51-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\51-FemaleNoGlasses-Talking_frame_395.jpg,normal
image_extraire/no yawn\52-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\52-FemaleNoGlasses-Normal_frame_256.jpg,normal
image_extraire/no yawn\53-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\53-FemaleNoGlasses-Talking_frame_544.jpg,normal
image_extraire/no yawn\54-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\54-FemaleNoGlasses-Normal_frame_333.jpg,normal
image_extraire/no yawn\55-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\55-FemaleNoGlasses-Normal_frame_277.jpg,normal
image_extraire/no yawn\56-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\56-FemaleNoGlasses-Talking_frame_545.jpg,normal
image_extraire/no yawn\57-FemaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\57-FemaleGlasses-Talking_frame_1025.jpg,normal
image_extraire/no yawn\57-FemaleGlasses-Talking_frame_513.jpg,normal
image_extraire/no yawn\58-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\58-FemaleNoGlasses-Normal_frame_391.jpg,normal
image_extraire/no yawn\59-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\59-FemaleNoGlasses-Talking_frame_449.jpg,normal
image_extraire/no yawn\59-FemaleNoGlasses-Talking_frame_897.jpg,normal
image_extraire/no yawn\6-MaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\6-MaleNoGlasses-Talking_frame_277.jpg,normal
image_extraire/no yawn\60-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\60-FemaleNoGlasses-Normal_frame_333.jpg,normal
image_extraire/no yawn\61-MaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\61-MaleGlasses-Normal_frame_277.jpg,normal
image_extraire/no yawn\62-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\62-FemaleNoGlasses-Talking_frame_447.jpg,normal
image_extraire/no yawn\62-FemaleNoGlasses-Talking_frame_893.jpg,normal
image_extraire/no yawn\63-FemaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\63-FemaleGlasses-Talking_frame_498.jpg,normal
image_extraire/no yawn\63-FemaleGlasses-Talking_frame_995.jpg,normal
image_extraire/no yawn\64-FemaleSunGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\64-FemaleSunGlasses-Normal_frame_349.jpg,normal
image_extraire/no yawn\65-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\65-FemaleNoGlasses-Normal_frame_304.jpg,normal
image_extraire/no yawn\65-FemaleNoGlasses-Normal_frame_607.jpg,normal
image_extraire/no yawn\66-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\66-FemaleNoGlasses-Talking_frame_490.jpg,normal
image_extraire/no yawn\7-FemaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\7-FemaleGlasses-Normal_frame_360.jpg,normal
image_extraire/no yawn\8-FemaleGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\8-FemaleGlasses-Normal_frame_347.jpg,normal
image_extraire/no yawn\8-FemaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\8-FemaleGlasses-Talking_frame_404.jpg,normal
image_extraire/no yawn\9-FemaleNoGlasses-Normal_frame_1.jpg,normal
image_extraire/no yawn\9-FemaleNoGlasses-Normal_frame_256.jpg,normal
image_extraire/no yawn\9-FemaleNoGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\9-FemaleNoGlasses-Talking_frame_395.jpg,normal
image_extraire/no yawn\9-MaleGlasses-Talking_frame_1.jpg,normal
image_extraire/no yawn\9-MaleGlasses-Talking_frame_1015.jpg,normal
image_extraire/no yawn\9-MaleGlasses-Talking_frame_508.jpg,normal
image_extraire/no yawn\9-MaleGlassesmoustache-Yawning_frame_1.jpg,normal
